x1;x2;x3;x4;x5;x6;x7;y
7.49;8.13;8.36;8.42;21110001;356.15;175380000;21.29411765
7.42;8.06;8.29;8.36;21639999;355.52;178260000;21.65144014
7.43;8.15;8.41;8.46;20430000;351.48;253090000;20.56868101
7.29;8.11;8.43;8.55;28740000;344.86;295880000;21.06176419
7.3;8.29;8.71;8.82;35910000;334.43;240400000;24.22982388
7.37;8.41;8.78;8.86;32750000;334.83;231580000;22.1263925
7.38;8.43;8.77;8.87;28270000;338.35;190400000;19.55696764
7.41;8.33;8.66;8.75;24389999;339.94;155810000;16.32770489
7.4;8.35;8.68;8.79;25750000;335.52;145340000;18.84394373
7.42;8.36;8.71;8.83;25740000;338.84;122820000;20.86483296
7.43;8.34;8.66;8.78;24180000;339.39;130320000;20.6816347
7.45;8.33;8.64;8.76;23309999;340.06;136710000;21.3331765
7.48;8.45;8.76;8.91;27160000;332.39;138850000;21.88435272
7.47;8.49;8.8;8.94;27530001;327.83;212560000;24.39245951
7.52;8.5;8.81;8.92;26459999;328.51;129630000;24.35012633
7.57;8.56;8.84;8.94;28900000;321.86;194630000;26.78605605
7.59;8.62;8.91;9.03;30549999;316.55;175550000;27.23519191
7.54;8.69;9;9.11;36470001;307.06;250440000;31.32143555
7.49;8.75;9.05;9.17;33930000;311.51;199040000;29.24869186
7.53;8.61;8.9;9.02;29629999;321.44;160150000;25.87555998
7.48;8.67;8.94;9.07;29120001;321.34;127660000;26.37343624
7.47;8.52;8.84;8.95;27379999;324.19;134240000;24.29112557
7.45;8.52;8.86;8.98;29889999;318.71;120890000;25.41012205
7.39;8.5;8.86;8.99;29900000;322.56;96480000;24.51500496
7.39;8.53;8.9;9.03;29580000;323.09;92940000;24.61029435
7.37;8.47;8.86;8.98;28520000;324.39;120610000;23.59856962
7.38;8.47;8.84;8.96;30190001;320.46;125620000;23.19777819
7.39;8.45;8.81;8.92;28730000;323.4;123800000;22.26468769
7.43;8.5;8.85;8.98;29340000;321.63;119730000;20.70198675
7.42;8.48;8.83;8.96;28379999;321.04;113220000;22.01918764
7.37;8.45;8.82;8.96;28120001;322.54;129890000;20.58051715
7.35;8.44;8.82;8.96;29330000;318.65;123390000;20.45159266
7.35;8.48;8.87;9.01;30559999;316.83;133390000;22.59754442
7.37;8.49;8.9;9.06;29549999;317.77;110600000;25.10941876
7.37;8.48;8.9;9.05;28820000;318.6;141130000;24.93596987
7.39;8.51;8.88;9.02;27879999;316.6;147530000;24.35754896
7.39;8.53;8.91;9.05;28660000;311.48;145100000;26.38846796
7.36;8.58;8.99;9.13;30040001;311.32;201050000;26.05781832
7.38;8.64;9.04;9.18;30559999;304.59;164070000;28.91867757
7.35;8.64;9.02;9.15;28809999;308.26;155940000;23.44696036
7.33;8.63;9;9.14;28190001;305.06;155570000;22.85307808
7.23;8.52;8.91;9.05;28670000;300.97;182690000;25.68767651
7.14;8.47;8.82;8.96;29110001;306.05;201010000;25.07858193
7.13;8.38;8.71;8.84;28059999;314.94;202210000;20.91331682
7.18;8.35;8.69;8.84;27280001;315.21;188360000;20.78125694
7.15;8.33;8.71;8.85;27900000;311.4;135490000;24.18240206
7.13;8.3;8.67;8.81;27510000;312.69;145410000;25.93284083
7.04;8.27;8.65;8.79;27850000;311.5;153380000;27.04654896
7.17;8.43;8.83;8.98;28040001;313.48;99470000;25.64272043
7.2;8.49;8.89;9.03;31190001;300.39;169190000;30.06471587
7.12;8.51;8.92;9.08;33980000;295.46;180060000;30.97867732
7.14;8.44;8.84;8.98;31940001;300.03;187940000;27.55984402
7.16;8.39;8.8;8.95;31639999;303.23;164980000;25.55479339
7.16;8.39;8.79;8.94;31450001;298.92;149570000;27.71952362
